edge_index,raw_timer_ticks,monotonic_timestamp_us
436,1608980944,1608070336
437,1610667752,1609757144
438,1613902484,1612991876
439,1618705308,1617794700
440,1618851928,1617941320
441,1619333728,1618423120
442,1623966860,1623056252
443,1629402392,1628491784
444,1647922960,1647012352
445,1652950676,1652040068
446,1653194372,1652283764
447,1657374612,1656464004
448,1659461208,1658550600
449,1660806856,1659896248
450,1664766232,1663855624
451,1667864160,1666953552
452,1669596624,1668686016
453,1672481396,1671570788
454,1676928096,1676017488
455,1681134180,1680223572
456,1681682624,1680772016
457,1684734104,1683823496
458,1688366924,1687456316
459,1689723900,1688813292
460,1691377168,1690466560
461,1696360528,1695449920
462,1696971080,1696060472
463,1697085704,1696175096
464,1702280392,1701369784
465,1703308984,1702398376
466,1705964084,1705053476
467,1706568660,1705658052
468,1707014672,1706104064
469,1708631064,1707720456
470,1709605064,1708694456
471,1720508796,1719598188
472,1721860396,1720949788
473,1725045960,1724135352
474,1728856988,1727946380
475,1735314608,1734404000
476,1742586684,1741676076
477,1744116956,1743206348
478,1744665504,1743754896
479,1744916580,1744005972
480,1749156252,1748245644
481,1755948084,1755037476
482,1757662024,1756751416
483,1759220272,1758309664
484,1764043340,1763132732
485,1766082036,1765171428
486,1769756644,1768846036
487,1774478364,1773567756
488,1774752868,1773842260
489,1781948856,1781038248
490,1787144824,1786234216
491,1787200068,1786289460
492,1790677332,1789766724
493,1792361624,1791451016
494,1795467996,1794557388
495,1797693220,1796782612
496,1805256072,1804345464
497,1807142660,1806232052
498,1809359628,1808449020
499,1812246112,1811335504
500,1812814632,1811904024
501,1817010496,1816099888
502,1819199292,1818288684
503,1826831848,1825921240
504,1827256768,1826346160
505,1833316984,1832406376
506,1833832496,1832921888
507,1840240944,1839330336
508,1841715088,1840804480
509,1842743276,1841832668
510,1848833068,1847922460
511,1849048120,1848137512
512,1855320392,1854409784
513,1855783768,1854873160
514,1860902500,1859991892
515,1871508404,1870597796
516,1873530128,1872619520
517,1875472192,1874561584
518,1903072188,1902161580
519,1904404832,1903494224
520,1905238052,1904327444
521,1905512860,1904602252
522,1906761632,1905851024
523,1914187940,1913277332
524,1915135088,1914224480
525,1921711092,1920800484
526,1924126384,1923215776
527,1935266100,1934355492
528,1938164136,1937253528
529,1938281852,1937371244
530,1938308032,1937397424
531,1938664556,1937753948
532,1939205024,1938294416
533,1944147048,1943236440
534,1948067812,1947157204
535,1948309624,1947399016
536,1956939588,1956028980
537,1958866680,1957956072
538,1965533372,1964622764
539,1971109696,1970199088
540,1974052952,1973142344
541,1981576396,1980665788
542,1982323472,1981412864
543,1982705612,1981795004
544,1984851188,1983940580
545,1988096648,1987186040
546,1993263720,1992353112
547,1993815796,1992905188
548,2001443604,2000532996
549,2003421364,2002510756
550,2003782608,2002872000
551,2004958216,2004047608
552,2005784500,2004873892
553,2012947180,2012036572
554,2018383768,2017473160
555,2020115604,2019204996
556,2024600348,2023689740
557,2036439980,2035529372
558,2039458504,2038547896
559,2040461308,2039550700
560,2048993860,2048083252
561,2050597512,2049686904
562,2052691324,2051780716
563,2056784168,2055873560
564,2057113244,2056202636
565,2066847368,2065936760
566,2069337808,2068427200
567,2085111252,2084200644
568,2088479152,2087568544
569,2105228232,2104317624
570,2107211028,2106300420
571,2116333628,2115423020
572,2117739228,2116828620
573,2127935152,2127024544
574,2134313964,2133403356
575,2134624992,2133714384
576,2135787424,2134876816
577,2138793240,2137882632
578,2141366664,2140456056
579,2142371136,2141460528
580,2142436976,2141526368
581,2157426052,2156515444
582,2159961780,2159051172
583,2160769972,2159859364
584,2161498912,2160588304
585,2165604672,2164694064
586,2174790960,2173880352
587,2179909588,2178998980
588,2181434072,2180523464
589,2189298648,2188388040
590,2190577416,2189666808
591,2194189200,2193278592
592,2197280808,2196370200
593,2197833644,2196923036
594,2199131192,2198220584
595,2202307464,2201396856
596,2213505404,2212594796
597,2217888956,2216978348
598,2220465952,2219555344
599,2220976408,2220065800
600,2222556236,2221645628
601,2232670600,2231759992
602,2233493636,2232583028
603,2237325292,2236414684
604,2239605788,2238695180
605,2239825384,2238914776
606,2243575296,2242664688
607,2243687064,2242776456
608,2248374296,2247463688
609,2255092716,2254182108
610,2255777952,2254867344
611,2258832796,2257922188
612,2259282968,2258372360
613,2259350016,2258439408
614,2266698704,2265788096
615,2269637576,2268726968
616,2275047836,2274137228
617,2277330144,2276419536
618,2279178380,2278267772
619,2281787300,2280876692
620,2283530220,2282619612
621,2284206184,2283295576
622,2284271208,2283360600
623,2285625632,2284715024
624,2289969092,2289058484
625,2293364184,2292453576
626,2306150732,2305240124
627,2307808592,2306897984
628,2309152360,2308241752
629,2309786068,2308875460
630,2312930136,2312019528
631,2316653516,2315742908
632,2327442956,2326532348
633,2334900232,2333989624
634,2335614084,2334703476
635,2335631780,2334721172
636,2342002448,2341091840
637,2342889256,2341978648
638,2343890992,2342980384
639,2346480984,2345570376
640,2357533600,2356622992
641,2359073924,2358163316
642,2361592980,2360682372
643,2367722044,2366811436
644,2371254544,2370343936
645,2377426172,2376515564
646,2377678952,2376768344
647,2380426204,2379515596
648,2380598972,2379688364
